Folder Path,Number of Files Analyzed
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_73/10027006113/Signed slides/Lymphocyte,44
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_44/Signed slides/Blast, no lineage spec",43
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_105/Signed slides/Lymphocyte,43
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_06/Signed slides/Blast, no lineage spec",43
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_1635/Signed slides/Blast, no lineage spec",43
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Lymphocyte,42
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_103/Signed slides/Erythroblast,41
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_98/Signed slides/Smudge cells,41
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_51/Signed slides/Smudge cells,41
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_17/Signed slides/Smudge cells,40
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_64/Signed slides/Smudge cells,40
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_56/Signed slides/Monocyte,40
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_58/Signed slides/Smudge cells,40
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_44/Signed slides/Monocyte,40
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_52/Signed slides/Blast, no lineage spec",40
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Blast, no lineage spec",39
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_82/Signed slides/Blast, no lineage spec",39
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_105/Signed slides/Smudge cells,39
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_19/Signed slides/Segmented neutrophils,39
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_01/Signed slides/Lymphocyte,38
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_23/Signed slides/Segmented neutrophils,38
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_67/Signed slides/Lymphocyte,38
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Blast, no lineage spec",38
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_19/Signed slides/Lymphocyte,38
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_03/Signed slides/Monocyte,37
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_94/Signed slides/Lymphocyte,37
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Myelocyte,37
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_59/10024110838_p/Signed slides/Erythroblast,37
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_30/Signed slides/Lymphocyte,37
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Smudge cells,37
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Erythroblast,36
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Smudge cells,36
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Blast, no lineage spec",36
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_06/Signed slides/Lymphocyte,36
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_56/Signed slides/Lymphocyte,35
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Promyelocyte,35
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_02/Signed slides/Lymphocyte,34
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_11/Signed slides/Blast, no lineage spec",34
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_07/Signed slides/Segmented neutrophils,34
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_03/Signed slides/Lymphocyte,34
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Segmented neutrophils,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Erythroblast,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_99/Signed slides/Smudge cells,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_46/Signed slides/Segmented neutrophils,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Monocyte,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_56/Signed slides/Smudge cells,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_04/Signed slides/Lymphocyte,33
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_48/Signed slides/Erythroblast,32
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_33/Signed slides/Segmented neutrophils,32
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_30/Signed slides/Smudge cells,32
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_42/Signed slides/Segmented neutrophils,32
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_06/Signed slides/Smudge cells,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_60/2018-12-16_2346/Signed slides/Lymphocyte,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_101/Signed slides/Monocyte,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_45/Signed slides/Smudge cells,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_28/Signed slides/Monocyte,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Promyelocyte,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_89/Signed slides/Lymphocyte,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_18/Signed slides/Segmented neutrophils,31
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_88/Signed slides/Smudge cells,30
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Blast, no lineage spec",30
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_34/Signed slides/Lymphocyte,30
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_37/Signed slides/Smudge cells,30
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_40/Signed slides/Smudge cells,30
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_104/Signed slides/Segmented neutrophils,30
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_26/Signed slides/Segmented neutrophils,30
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Blast, no lineage spec",30
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Blast, no lineage spec",29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_53/Signed slides/Monocyte,29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_78/Signed slides/Lymphocyte,29
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_03/Signed slides/Blast, no lineage spec",29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_84/2019-02-11_2108/Signed slides/Lymphocyte,29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_97/Signed slides/Segmented neutrophils,29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_19/Signed slides/Promyelocyte,29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Promyelocyte,29
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_100/2019-04-30_1548/Signed slides/Segmented neutrophils,28
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Plasma cells,28
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_93/Signed slides/Lymphocyte,28
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_27/Signed slides/Monocyte,28
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_01/Signed slides/Blast, no lineage spec",28
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_24/Signed slides/Smudge cells,27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_97/Signed slides/Lymphocyte,27
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_104/Signed slides/Lymphocyte, variant",27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_00/Signed slides/Lymphocyte,27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Monocyte,27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_92/Signed slides/Lymphocyte,27
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_63/Signed slides/Blast, no lineage spec",27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_102/Signed slides/Lymphocyte,27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_09/Signed slides/Lymphocyte,27
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_55/Signed slides/Lymphocyte,26
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Lymphocyte,26
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Blast, no lineage spec",26
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Segmented neutrophils,26
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_90/Signed slides/Segmented neutrophils,26
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_71/Signed slides/Blast, no lineage spec",26
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_90/Signed slides/Smudge cells,26
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_91/Signed slides/Arifact,26
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_38/Signed slides/Blast, no lineage spec",25
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_96/Signed slides/Blast, no lineage spec",25
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_05/Signed slides/Segmented neutrophils,25
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_70/Signed slides/Monocyte,25
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_50/Signed slides/Monocyte,24
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_103/Signed slides/Lymphocyte,24
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_68/Signed slides/Segmented neutrophils,24
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Blast, no lineage spec",24
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_59/10024110838_p/Signed slides/Lymphocyte,23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_26/Signed slides/Lymphocyte,23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_43/Signed slides/Smudge cells,23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_13/Signed slides/Segmented neutrophils,23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Segmented neutrophils,23
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_68/Signed slides/Lymphocyte, variant",23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_58/Signed slides/Promyelocyte,23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_98/Signed slides/Monocyte,23
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_85/Signed slides/Lymphocyte,22
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_74/Signed slides/Smudge cells,22
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_75/Signed slides/Lymphocyte,22
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_65/Signed slides/Segmented neutrophils,22
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_06/Signed slides/Lymphocyte, variant",22
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_79/10025562151/Signed slides/Segmented neutrophils,22
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_105/Signed slides/Segmented neutrophils,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_29/Signed slides/Lymphocyte,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_63/Signed slides/Segmented neutrophils,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_76/Signed slides/Lymphocyte,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_43/Signed slides/Segmented neutrophils,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Promyelocyte,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_76/Signed slides/Monocyte,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_85/Signed slides/Smudge cells,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_22/Signed slides/Segmented neutrophils,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Promyelocyte,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_65/Signed slides/Monocyte,21
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_33/Signed slides/Erythroblast,20
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_103/Signed slides/Segmented neutrophils,20
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_27/Signed slides/Lymphocyte,20
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_76/Signed slides/Smudge cells,20
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_36/Signed slides/Promonocyte,20
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Blast, no lineage spec",19
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_50/Signed slides/Segmented neutrophils,19
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_28/Signed slides/Lymphocyte,19
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_87/Signed slides/Lymphocyte,19
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_48/Signed slides/Lymphocyte,19
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Monocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_81/10026273526/Signed slides/Segmented neutrophils,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_24/Signed slides/Monocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_102/Signed slides/Segmented neutrophils,18
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Blast, no lineage spec",18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Monocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_45/Signed slides/Promonocyte,18
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_56/Signed slides/Lymphocyte, variant",18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_86/Signed slides/Lymphocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_16/Signed slides/Lymphocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_54/Signed slides/Lymphocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_35/Signed slides/Lymphocyte,18
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Lymphocyte,18
